Data,Descrizione,Fonte,Denominazione,Ente,Documento,Note
5/10/05,"Area Programmazione, Governance e Marketing territoriale - AREA PROGRAMMAZIONE, GOVERNANCE E MARKETING TERRITORIALE - centro Ricerche ed Alta Formazione S.r.l.: Costituzione della Società Centro Ricerche ed Alta Formazione S.r.l. - Approvazione di piano economico finanziario, atto costitutivo e statuto",http://www3.provincia.prato.it/w2d3/internet/cache/provprato/internet2/index.html?fldid=63&dbfldid=188&numero=&tipo=&anno=2005&oggetto=,Indice atti,Provincia di Prato,https://archive.org/details/dcp2005_64/,Creazione del Creaf
24/7/06,"[Area Programmazione, Governance e Marketing territoriale] - Centro ricerche ed Alta Formazione, C.R.e.A.F. S.r.l - Anticipazione Finanziaria - Indirizzi. ",http://www3.provincia.prato.it/w2d3/internet/cache/provprato/internet2/index.html?fldid=63&dbfldid=188&numero=&tipo=&anno=2006&oggetto=,Indice atti,Provincia di Prato,https://archive.org/details/Dgp20061531/,Anticipazione finanziaria
26/2/07,"Patti per lo sviluppo locale (PASL) ex art. 12bis della L.R. 49/99 ""Norme in materia di programmazione regionale"". Approvazione dei patti ai fini della sottoscrizione con le Amministrazioni Provinciali toscane e il Circondario Empolese Valdelsa.Delibera n. 149 del 26/02/2007 - Allegato: 4-PASL PRATO:... II lotto Centro per la ricerca e l'Alta formazione (Provincia di Prato) Provincia di Prato, Comuni del territorio, CREAF Srl Sviluppo del trasferimento ...                  Tipo pubblicazione: Atto soggetto a pubblicazione integrale      ",http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2007DG00000000208,Atti della Giunta Regionale,Regione Toscana,,
21/12/07,"[Direzione Generale] - Centro ricerche ed Alta Formazione, CReAF SRL - Anticipazione Finanziaria – Indirizzi. ",http://www3.provincia.prato.it/w2d3/internet/cache/provprato/internet2/index.html?fldid=63&dbfldid=188&numero=&tipo=&anno=2007&oggetto=,Indice atti,Provincia di Prato,https://archive.org/details/Dgp20072602/,Anticipazione finanziaria
3/3/08,"[Area Programmazione, Governance e Marketing territoriale] - Centro ricerche e alta formazione CREAF srl - Integrazione anticipazione Finanziaria – Indirizzi.",http://www3.provincia.prato.it/w2d3/internet/cache/provprato/internet2/index.html?fldid=63&dbfldid=188&numero=&tipo=&anno=2008&oggetto=,Indice atti,Provincia di Prato,https://archive.org/details/Dgp20080535/,Integrazione Anticipazione Finanziaria
29/10/08,Area Servizi Istituzionali - INTERROGAZIONE presentata dal Capogruppo di Forza Italia verso il PDL Riccardo Bini sui lavori relativi all’immobile di proprietà della Società CREAF.,http://www3.provincia.prato.it/w2d3/internet/cache/provprato/internet2/index.html?fldid=63&dbfldid=188&numero=&tipo=&anno=2008&oggetto=,Indice atti,Provincia di Prato,https://archive.org/details/dcp68_2008c,
29/12/08,"Patti per lo sviluppo locale (PASL) ex art. 12bis della L.R. 49/99 ""Norme in materia di programmazione regionale"". Approvazione dei patti ai fini della sottoscrizione con le Amministrazioni Provinciali toscane e il Circondario Empolese Valdelsa.Delibera n. 149 del 26/02/2007 - Allegato: 4-PASL PRATO:... II lotto Centro per la ricerca e l'Alta formazione (Provincia di Prato) Provincia di Prato, Comuni del territorio, CREAF Srl Sviluppo del trasferimento ...                  Tipo pubblicazione: Atto soggetto a pubblicazione integrale      ",http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2008DG00000001580,Atti della Giunta Regionale,Regione Toscana,,
6/2/09,Il consiglio definisce gli indirizzi per gli enti partecipati,http://comunicati.comune.prato.it/generali/?action=dettaglio&comunicato=14200900000105,Comunicati Stampa,Comune di Prato,,
13/2/09,"Comune e Partecipate,  dove sarà mantenuta la partecipazione",http://comunicati.comune.prato.it/generali/?action=dettaglio&comunicato=14200900000131,Comunicati Stampa,Comune di Prato,,
9/3/09,"Patti per lo sviluppo locale (PASL) ex art. 12bis della L.R. 49/99 ""Norme in materia di programmazione regionale"". Approvazione dei patti ai fini della sottoscrizione con le Amministrazioni Provinciali toscane e il Circondario Empolese Valdelsa.Delibera n. 149 del 26/02/2007 - Allegato: 4-PASL PRATO:... II lotto Centro per la ricerca e l'Alta formazione (Provincia di Prato) Provincia di Prato, Comuni del territorio, CREAF Srl Sviluppo del trasferimento ...                  Tipo pubblicazione: Atto soggetto a pubblicazione integrale      ",http://www.regione.toscana.it/bancadati/atti/DettaglioAttiG.xml?codprat=2009DG00000000211,Atti della Giunta Regionale,Regione Toscana,,
17/3/09,"Ai nastri di partenza l'operazione ex Banci, ma non solo",http://comunicati.comune.prato.it/generali/?action=dettaglio&comunicato=14200900000239,Comunicati Stampa,Comune di Prato,,
22/4/09,Via libera all'unanimità a due nuovi impianti sportivi,http://comunicati.comune.prato.it/generali/?action=dettaglio&comunicato=14200900000382,Comunicati Stampa,Comune di Prato,,
